epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4462,1.74435,5.09154,0.96698,0.00302,0.17,0.00543,0.00289,1.33749,4.17093,0.85377,0.0991,0.0001,0.0001
2,16.1159,1.67082,5.00339,0.99053,0.00639,0.21,0.0079,0.00434,1.30331,4.21159,0.85669,0.0972852,0.00028515,0.00028515
3,21.8481,1.64786,4.9953,1.00425,0.00583,0.21,0.00759,0.00382,1.32521,4.23952,0.85899,0.0954505,0.0004505,0.0004505
4,27.4159,1.64323,4.94151,0.98731,0.01513,0.445,0.01709,0.00903,1.3223,3.91964,0.85469,0.0935961,0.00059605,0.00059605
5,33.4883,1.55098,4.41173,0.94532,0.07001,0.41841,0.12975,0.09159,1.24949,3.45971,0.83913,0.0917218,0.0007218,0.0007218
6,39.7974,1.37177,3.49906,0.89636,0.59086,0.25921,0.34189,0.25212,1.20672,2.94482,0.83939,0.0898278,0.00082775,0.00082775
7,46.0642,1.36696,2.66733,0.89317,0.35391,0.495,0.4944,0.35443,1.14948,2.6147,0.82793,0.0879139,0.0009139,0.0009139
8,52.3081,1.20462,1.9826,0.85113,0.65975,0.55271,0.57392,0.40663,1.18845,2.96726,0.81882,0.0859803,0.00098025,0.00098025
9,58.4714,1.35497,1.80714,0.86036,0.76576,0.48754,0.57294,0.39626,1.24409,2.58192,0.81982,0.0840268,0.0010268,0.0010268
10,64.2987,1.33808,1.67171,0.8574,0.74382,0.63871,0.63624,0.44125,1.20015,2.18519,0.81916,0.0820536,0.00105355,0.00105355
11,70.1948,1.133,1.60436,0.82735,0.65398,0.74113,0.67917,0.45009,1.21593,1.94577,0.82007,0.0800605,0.0010605,0.0010605
12,75.9995,1.168,1.63591,0.85021,0.64949,0.765,0.67724,0.45288,1.21519,1.84044,0.82112,0.0780477,0.00104765,0.00104765
13,81.8394,1.1757,1.56495,0.84374,0.55235,0.875,0.6957,0.47173,1.18503,1.63078,0.81537,0.076015,0.001015,0.001015
14,87.7636,1.1375,1.36418,0.84169,0.62606,0.815,0.7452,0.50477,1.20246,1.45447,0.81771,0.0739626,0.00096255,0.00096255
15,93.5607,1.23933,1.48063,0.83592,0.65168,0.855,0.80547,0.54857,1.17448,1.25671,0.81767,0.0718903,0.0008903,0.0008903
16,99.3352,1.10784,1.21991,0.84649,0.75516,0.81555,0.82576,0.56153,1.19961,1.20782,0.81831,0.0697983,0.00079825,0.00079825
17,105.145,1.16663,1.30406,0.84739,0.77635,0.77858,0.8331,0.57633,1.17468,1.09794,0.82117,0.0676864,0.0006864,0.0006864
18,111.041,1.1915,1.24953,0.83336,0.83028,0.79514,0.84921,0.57035,1.1559,1.05897,0.81995,0.0655547,0.00055475,0.00055475
19,116.764,1.12139,1.14227,0.84741,0.90346,0.78838,0.85633,0.58413,1.18595,1.05536,0.82035,0.0634033,0.0004033,0.0004033
20,122.638,1.16475,1.16112,0.82797,0.92669,0.79752,0.85617,0.58483,1.18992,1.0339,0.81984,0.0612321,0.00023205,0.00023205
